movieid,title,genre
1,Avatar:The Way of Water,Adventure
2,The Last of Us,Adventure
3,Vikings:Valhalla,Adventure
4,Jurrasic World:Dominion,Adventure
5,National Treasure:Edge of History,Adventure
6,Black Panther,Adventure
7,Black Adam,Adventure
8,Rick and Morty,Adventure
9,Star Wars,Adventure
10,The Mandalorian,Adventure
11,Willow,Adventure
12,Attack on Titan,Adventure
13,Dune,Adventure
14,Gladiator,Adventure
15,Mad Max,Adventure
16,THe Walking Dead,Horror
17,Scream,Horror
18,Annabelle,Horror
19,The Conjuring,Horror
20,A Quite Place,Horror
21,Panormal Activity,Horror
22,The Stranges,Horror
23,The Exorcist,Horror
24,It,Horror
25,Insidious,Horror
26,Dabbe,Horror
27,The Talking,Horror
28,Shutter,Horror
29,Sinister,Horror
30,The Badbook,Horror
31,Bullet Train,Comedy
32,La La Land,Comedy
33,Glass Onion:A Knives Out Mystery,Comedy
34,Home Alone,Comedy
35,The Hangover,Comedy
36,Don't Look Up,Comedy
37,Pinocchio,Comedy
38,Free Guy,Comedy
39,Pitch Perfect,Comedy
40,Jennifier's Body,Comedy
41,Jumanji:Welcome To The Jungle,Comedy
42,Deadpool,Comedy
43,Greeen Book,Comedy
44,Along Came Polly,Comedy
46,Oxygen,Sci-fi
47,Moonfall,Sci-fi
48,The Adam Project,Sci-fi
49,Prey,Sci-fi
50,Inception,Sci-fi
51,Dune,Sci-fi
52,Project Power,Sci-fi
53,Venom,Sci-fi
54,Alita:Battle Angle,Sci-fi
55,Godzilla Vs Kong,Sci-fi
56,Blade Runner,Sci-fi
57,Transformers,Sci-fi
58,Arrival,Sci-fi
59,Army of Dead,Sci-fi
60,Bumblee,Sci-fi
61,Venom,Action
62,Top Gun:Maverick,Action
63,Mission Impossible,Action
64,Jhon Wick,Action
65,Shang-Chi and The Lord of Ten Rings,Action
66,The Gray Man,Action
67,Aquaman,Action
68,K.G.F:Chapter 2,Action
69,Vin Diesel BLOODSHOT,Action
70,The Wolverine,Action
71,The King's Man,Action
72,X-Men Apocalypse,Action
73,Beast,Action
74,The Old Guard,Action
75,No Way Home,Action
76,Twilight,Romantic
77,The Vampire Diaries,Romantic
78,Ae Dil Hai Mushkil,Romantic
79,West SIde Story,Romantic
80,The Reader,Romantic
81,American Beauty,Romantic
82,Eternal Sunshine,Romantic
83,Good Will Hunting,Romantic
84,Raanjhana,Romantic
85,The Hours,Romantic
86,The Shape of Water,Romantic
87,Highway,Romantic
88,Lost in Transhlation,Romantic
89,A Beautiful Mind,Romantic
90,La La Land,Romantic
91,The Guilty,Crime
92,Max Payne,Crime
93,Gangs of Wassepur,Crime
94,Black Mass,Crime
95,Gone All,Crime
96,The Next Three Days,Crime
97,Parker,Crime
98,Regression ,Crime
99,Joker,Crime
100,Mystic River,Crime
101,Raid,Crime
102,Midnight Express,Crime
103,Wrath OF Man,Crime
104,Black Friday,Crime
105,Wazir,Crime
106,Sherlock Holmes,Mystery
107,Amsterdam,Mystery
108,Detective Byomkesh Bakshy,Mystery
109,Enola Holmes,Mystery
110,The Priest,Mystery
111,Abduction,Mystery
112,Death of the Nile,Mystery
113,Foresnsic,Mystery
114,Source Code,Mystery
115,In the Shadows of the Moon,Mystery
116,Self/less,Mystery
117,The Snowman,Mystery
118,Before I Fall,Mystery
119,Deja Vu,Mystery
120,Hit,Mystery
121,Harry Potter,Fantasy
122,Scooby-Doo,Fantsy
123,Pokemon Detective Pikachu,Fantasy
124,How to Train Your Dragon,Fantasy
125,Dora and the Lost City Of Gold,Fantasy
126,Hugo,Fantasy
127,Watchmen,Fantasy
128,Tommorowland,Fantasy
129,The Prestige,Fantasy
130,inter's Tale,Fantasy
131,Red Lights,Fantasy
132,Dark Shadows,Fantasy
133, Call,Fantasy
134,Between Worlds,Fantasy
135,Watchmen,Fantasy
136,Slumdog Millionare,Inspirational
137,The Imitation Game,Inspirational
138,Hotel Rwanda,Inspirational
139,12 Years of Slave,Inspirational
140,The Truman Show,Inspirational
141,Hachi:A Dog's Tale,Inspirational
142,Milloin Dollar Baby,Inspirational
143,A Beautifull Mind,Inspirational
144,Catch Me If You Can,Inspirational
145,Into The Wild,Inspirational
146,A Good Year,Inspirational
147,Good Will Hunting,Inspirational
148,Like Stars on Earth,Inspirational
149,The Green Mile,Inspirational
150,Untouchable,Inspirational
151,Roald Dahl's Matilda the Muscial,Musical
152,Grease,Musical
153,Coco,Inspirational
154,The Little Mermaid,Musical
155,The Loin King,Musical
156,Wonka,Musical
157,Sing2,Musical
158,Disenchanted,Musical
159,Pinnochio,Musical
160,Sprited,Musical
161,The Greatest Snowman,Musical
162,Lyle Lyle Crocodile,Musical
163,Sing,Musical
164,Beauty And The Beast,Musical
165,Hamilton,Musical

